Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
CMG,485.15,Put,445,1/11/2019,4,0.2,0.35,0.5,0.4,576,111,5.19,47.98%,1/7/2019
AMZN,1629.51,Call,1737.5,1/11/2019,4,2.7,2.95,3.2,3.4,956,185,5.17,45.69%,1/7/2019
ENDP,9.17,Put,9,4/18/2019,101,1.1,1.25,1.4,1.25,15259,2959,5.16,72.51%,1/7/2019
TWLO,96.98,Put,80,1/25/2019,18,0.99,1.12,1.24,1.1,1102,214,5.15,80.28%,1/7/2019
BKS,7.57,Call,9,2/15/2019,39,0.2,0.25,0.3,0.23,2586,504,5.13,67.55%,1/7/2019
XOM,71.52,Put,70.5,1/11/2019,4,0.38,0.4,0.42,0.37,603,118,5.11,26.43%,1/7/2019
GE,8.74,Put,8.5,1/11/2019,4,0.12,0.13,0.14,0.13,13869,2715,5.11,64.31%,1/7/2019
LLY,115.28,Call,115,1/18/2019,11,2.32,2.43,2.53,2.4,10796,2124,5.08,27.64%,1/7/2019
ROKU,42.18,Call,37.5,1/11/2019,4,4.9,5.08,5.25,5.1,851,168,5.07,114.38%,1/7/2019
SEDG,35.01,Call,36,1/18/2019,11,0.7,0.8,0.9,0.8,865,171,5.06,49.63%,1/7/2019
TEVA,17.67,Call,18.5,1/11/2019,4,0.1,0.11,0.12,0.11,1238,245,5.05,51.87%,1/7/2019
NVDA,143.4,Call,149,1/11/2019,4,1.68,1.73,1.78,1.79,1253,250,5.01,64.93%,1/7/2019
SQ,60.72,Put,58,1/11/2019,4,0.7,0.72,0.73,0.71,1448,290,4.99,70.58%,1/7/2019
FDC,17.22,Call,20,2/15/2019,39,0.3,0.35,0.4,0.3,821,165,4.98,49.65%,1/7/2019
AMZN,1629.51,Put,1575,1/11/2019,4,10.75,11.08,11.4,10.75,798,161,4.96,45.96%,1/7/2019
BMY,48.41,Put,46,1/11/2019,4,0.07,0.11,0.14,0.09,535,108,4.95,38.36%,1/7/2019
ETN,68.73,Put,62.5,4/18/2019,101,1.6,1.68,1.75,1.68,633,128,4.95,30.85%,1/7/2019
