Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NFLX,315.34,Put,290.00,01/11/19,4,1.15,1.26,1.37,1.25,7005,1039,6.74,67.94%,01/07/19
AMZN,1629.51,Call,1700.00,01/11/19,4,7.00,7.08,7.15,7.15,7124,1071,6.65,43.18%,01/07/19
WAB,70.57,Put,70.00,02/15/19,39,3.70,4.15,4.60,3.65,2016,305,6.61,44.12%,01/07/19
T,30.89,Call,31.50,01/11/19,4,0.05,0.06,0.06,0.06,6254,950,6.58,19.60%,01/07/19
MU,34,Call,35.50,01/11/19,4,0.25,0.27,0.28,0.26,2995,458,6.54,54.55%,01/07/19
JPM,100.76,Call,111.00,01/18/19,11,0.05,0.06,0.07,0.06,1135,174,6.52,29.16%,01/07/19
MNST,49.73,Call,50.00,03/15/19,67,3.00,3.1,3.20,3.10,1890,292,6.47,36.49%,01/07/19
BMY,48.41,Call,51.50,01/18/19,11,0.28,0.3,0.31,0.28,1057,164,6.45,36.37%,01/07/19
MBI,9.24,Put,8.00,05/17/19,130,0.43,0.47,0.50,0.43,1000,156,6.41,46.70%,01/07/19
TGT,69.68,Call,71.00,01/11/19,4,0.98,1.04,1.10,1.02,804,128,6.28,53.96%,01/07/19
MU,34,Put,34.00,01/11/19,4,0.79,0.81,0.82,0.82,3122,504,6.19,58.16%,01/07/19
RIG,8.28,Put,8.50,01/11/19,4,0.35,0.37,0.38,0.39,682,111,6.14,76.37%,01/07/19
SQ,60.72,Call,63.00,01/18/19,11,1.67,1.7,1.73,1.67,2875,468,6.14,61.54%,01/07/19
JPM,100.76,Call,106.00,01/18/19,11,0.44,0.47,0.50,0.49,1492,245,6.09,30.07%,01/07/19
X,20.45,Call,22.50,01/11/19,4,0.05,0.07,0.09,0.08,638,105,6.08,72.12%,01/07/19
AA,28.42,Call,30.00,01/17/20,375,4.80,4.9,5.00,5.10,1129,186,6.07,47.15%,01/07/19
AMZN,1629.51,Call,1690.00,01/11/19,4,7.20,8.23,9.25,9.22,681,113,6.03,43.56%,01/07/19
AMZN,1629.51,Call,1645.00,01/11/19,4,20.90,22.1,23.30,24.00,695,116,5.99,45.21%,01/07/19
TWTR,31.34,Call,31.50,01/11/19,4,0.66,0.67,0.68,0.64,2790,470,5.94,54.30%,01/07/19
AAPL,147.93,Call,143.00,01/11/19,4,5.60,5.73,5.85,5.70,3694,627,5.89,40.31%,01/07/19
AXL,12.27,Call,12.00,01/18/19,11,0.65,0.7,0.75,0.70,6302,1092,5.77,65.30%,01/07/19
IGT,15.22,Put,13.00,02/15/19,39,0.40,0.45,0.50,0.43,603,105,5.74,68.22%,01/07/19
OLLI,74.18,Call,75.00,01/18/19,11,2.20,2.33,2.45,2.30,1405,247,5.69,51.52%,01/07/19
AMZN,1629.51,Put,1550.00,01/11/19,4,6.35,6.58,6.80,6.60,2385,420,5.68,47.94%,01/07/19
NFLX,315.34,Call,312.50,01/11/19,4,9.40,9.65,9.90,10.00,2641,467,5.66,64.46%,01/07/19
PYPL,86.93,Call,88.00,01/25/19,18,1.99,2.07,2.15,1.95,709,126,5.63,30.89%,01/07/19
TSLA,334.96,Put,307.50,01/11/19,4,1.00,1.05,1.09,1.02,596,106,5.62,64.04%,01/07/19
AMD,20.57,Call,25.00,01/25/19,18,0.22,0.26,0.30,0.27,1224,219,5.59,78.97%,01/07/19
FB,138.05,Call,143.00,02/01/19,25,4.20,4.6,5.00,4.65,639,115,5.56,45.91%,01/07/19
NVDA,143.4,Call,148.00,01/18/19,11,3.85,3.93,4.00,3.98,656,119,5.51,59.01%,01/07/19
BABA,143.1,Put,142.00,01/11/19,4,2.05,2.11,2.16,1.80,715,130,5.5,39.12%,01/07/19
AAPL,147.93,Call,147.00,01/11/19,4,2.75,2.84,2.92,2.92,9576,1773,5.4,38.97%,01/07/19
AAPL,147.93,Put,134.00,01/18/19,11,0.32,0.35,0.37,0.34,576,108,5.33,40.29%,01/07/19
